name,url,stargazers,watchers,forkCount,isFork,commitComments,releases,createdAt,primaryLanguage
wttr.in,https://github.com/chubin/wttr.in,10112,189,540,False,9,0,2015-12-26T21:03:43Z,Python
labelImg,https://github.com/tzutalin/labelImg,10004,345,3414,False,3,2,2015-09-17T01:33:59Z,Python
neural-enhance,https://github.com/alexjc/neural-enhance,9996,371,1138,False,7,3,2016-10-01T13:01:50Z,Python
wtfpython-cn,https://github.com/leisurelicht/wtfpython-cn,9963,478,1811,False,0,0,2018-11-10T09:37:58Z,Python
python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,9830,396,2066,False,24,68,2015-07-07T15:30:39Z,Python
tensor2tensor,https://github.com/tensorflow/tensor2tensor,9707,459,2512,False,12,72,2017-06-15T16:57:39Z,Python
mackup,https://github.com/lra/mackup,9678,157,769,False,17,9,2013-04-06T19:22:54Z,Python
ChatterBot,https://github.com/gunthercox/ChatterBot,9664,536,3333,False,20,80,2014-09-28T14:49:00Z,Python
jupyter,https://github.com/jupyter/jupyter,9632,626,2269,False,1,0,2015-06-04T21:05:00Z,Python
poetry,https://github.com/python-poetry/poetry,9611,116,672,False,19,78,2018-02-28T15:23:47Z,Python
sovereign,https://github.com/sovereign/sovereign,9605,268,796,False,24,0,2013-08-19T22:09:16Z,Python
InstaPy,https://github.com/timgrossmann/InstaPy,9491,431,2577,False,97,1,2016-09-26T20:36:26Z,Python
pelican,https://github.com/getpelican/pelican,9481,368,1633,False,162,9,2010-10-16T18:57:40Z,Python
baselines,https://github.com/openai/baselines,9463,518,3204,False,30,0,2017-05-24T01:58:13Z,Python
stanford-tensorflow-tutorials,https://github.com/chiphuyen/stanford-tensorflow-tutorials,9445,642,4296,False,5,1,2016-11-05T18:21:51Z,Python
faker,https://github.com/joke2k/faker,9422,200,1107,False,25,5,2012-11-12T23:00:09Z,Python
tflearn,https://github.com/tflearn/tflearn,9387,483,2401,False,20,7,2016-03-31T12:05:53Z,Python
walle-web,https://github.com/meolu/walle-web,9368,525,2345,False,3,20,2015-09-11T05:18:44Z,Python
speedtest-cli,https://github.com/sivel/speedtest-cli,9366,310,1334,False,10,21,2012-09-10T19:17:53Z,Python
aws-cli,https://github.com/aws/aws-cli,9358,573,2135,False,30,1,2012-11-20T16:07:36Z,Python
aiohttp,https://github.com/aio-libs/aiohttp,9325,241,1360,False,242,119,2013-10-01T23:04:01Z,Python
neural-doodle,https://github.com/alexjc/neural-doodle,9314,326,853,False,5,1,2016-03-05T23:35:18Z,Python
mkdocs,https://github.com/mkdocs/mkdocs,9284,220,1403,False,24,0,2014-01-11T21:05:21Z,Python
beets,https://github.com/beetbox/beets,9237,443,1561,False,250,31,2010-08-09T23:17:20Z,Python
newspaper,https://github.com/codelucas/newspaper,9231,353,1556,False,19,2,2013-11-25T09:50:50Z,Python
proxy_pool,https://github.com/jhao104/proxy_pool,9154,394,2663,False,2,0,2016-11-25T13:49:07Z,Python
stylegan,https://github.com/NVlabs/stylegan,9107,381,1984,False,5,0,2019-02-04T15:33:58Z,Python
Theano,https://github.com/Theano/Theano,9096,580,2531,False,274,0,2011-08-10T03:48:06Z,Python
DeepCreamPy,https://github.com/deeppomf/DeepCreamPy,9070,454,987,False,4,11,2018-02-09T17:46:53Z,Python
tushare,https://github.com/waditu/tushare,9054,960,3556,False,8,1,2015-01-07T07:51:14Z,Python
RocAlphaGo,https://github.com/Rochester-NRT/RocAlphaGo,9017,955,2489,False,8,0,2016-02-01T00:40:29Z,Python
sshuttle,https://github.com/apenwarr/sshuttle,8988,351,678,False,4,0,2010-05-02T06:50:16Z,Python
click,https://github.com/pallets/click,8966,189,885,False,26,2,2014-04-24T09:52:19Z,Python
mailinabox,https://github.com/mail-in-a-box/mailinabox,8950,297,965,False,75,10,2013-08-21T13:56:50Z,Python
fast-style-transfer,https://github.com/lengstrom/fast-style-transfer,8811,335,2199,False,2,0,2016-07-21T02:59:11Z,Python
horovod,https://github.com/horovod/horovod,8789,321,1378,False,43,1,2017-08-09T19:39:59Z,Python
nltk,https://github.com/nltk/nltk,8735,492,2320,False,98,0,2009-09-07T10:53:58Z,Python
mmdetection,https://github.com/open-mmlab/mmdetection,8728,288,2867,False,6,0,2018-08-22T07:06:06Z,Python
wifiphisher,https://github.com/wifiphisher/wifiphisher,8700,563,2002,False,69,4,2014-09-26T12:47:28Z,Python
termtosvg,https://github.com/nbedos/termtosvg,8679,123,317,False,0,12,2018-06-09T13:52:09Z,Python
Gooey,https://github.com/chriskiehl/Gooey,8648,227,501,False,8,1,2014-01-01T21:06:05Z,Python
httpbin,https://github.com/postmanlabs/httpbin,8605,225,1275,False,23,4,2011-05-20T21:14:01Z,Python
USTC-Course,https://github.com/USTC-Resource/USTC-Course,8582,465,2620,False,0,0,2019-01-09T03:48:08Z,Python
detectron2,https://github.com/facebookresearch/detectron2,8579,222,1688,False,12,2,2019-09-05T21:30:20Z,Python
pgcli,https://github.com/dbcli/pgcli,8557,143,395,False,13,0,2014-10-12T17:32:33Z,Python
kitty,https://github.com/kovidgoyal/kitty,8538,146,407,False,221,51,2016-10-16T14:48:28Z,Python
wagtail,https://github.com/wagtail/wagtail,8512,347,1862,False,256,114,2014-02-03T12:41:59Z,Python
mycli,https://github.com/dbcli/mycli,8505,208,525,False,11,0,2015-04-05T22:39:49Z,Python
numpy-ml,https://github.com/ddbourgin/numpy-ml,8381,402,2348,False,0,0,2019-04-06T22:29:49Z,Python
pyecharts,https://github.com/pyecharts/pyecharts,8368,323,1930,False,65,0,2017-06-22T02:50:25Z,Python
